Method,Name,Error,Occurrences
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 268'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 126'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 362'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 352'),48
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 371'),25
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 136'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 355'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 246'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 292'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 336'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 110'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 379'),30
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 380'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 194'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 106'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 322'),46
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 326'),46
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 163'),55
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 144'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 187'),48
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 181'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 228'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 242'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 134'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 176'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 331'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 220'),51
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 387'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 206'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 248'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 327'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 308'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 158'),46
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 275'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 111'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 188'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 309'),52
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 269'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 199'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 120'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 356'),47
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 229'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 323'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 160'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 317'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 221'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 241'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 238'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 125'),56
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 263'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 130'),31
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 230'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 253'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 284'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 348'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 304'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 366'),53
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 374'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 236'),48
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 282'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 337'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 383'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 270'),30
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 278'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 286'),27
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 350'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 150'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 313'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 193'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 347'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 363'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 316'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 291'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 116'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 250'),35
